"","error","Q_loss"
"242",0.547596875128879,0.622321770130402
"243",0.54750638471048,0.622319499587555
"244",0.547365891158139,0.622322135090915
"245",0.547275407958218,0.622319001720833
"246",0.547132971537252,0.622321417536589
"247",0.547042534905777,0.622317625329984
"248",0.546907422555905,0.622320716447123
"249",0.546835135886733,0.622316757479463
"250",0.546687638633861,0.622319363106487
"251",0.546621480675466,0.62231637086241
"252",0.546471994290105,0.622317741696677
"253",0.546405995531889,0.622315396475432
"254",0.546256618716207,0.622316483215905
"255",0.546190815302202,0.622314748230368
"256",0.546041640262429,0.622316359658574
"257",0.545981478708786,0.622314963672576
"258",0.545837968926205,0.622317172645368
"259",0.545785398806468,0.622316184972726
"260",0.545648410876415,0.62231786750689
"261",0.545595939683125,0.622316168793669
"262",0.545459124558522,0.622318171405496
"263",0.545406741975469,0.622315454645853
"264",0.545272637936413,0.622317898630451
"265",0.545227223798808,0.622315291311843
"266",0.545094355310089,0.622318080862638
"267",0.545045270479267,0.622316114264482
"268",0.544907371872379,0.622318304646423
"269",0.544862343841958,0.622316904798894
"270",0.54471473696945,0.622317371447731
"271",0.544675416374703,0.622317784683833
"272",0.544534368567405,0.622317154064762
"273",0.544495105166748,0.622317763668304
"274",0.544354132810972,0.622316511915926
"275",0.544322350313785,0.622316337681542
"276",0.544184648060736,0.622315524275377
"277",0.54414685650844,0.622316481894148
"278",0.544013751928261,0.622316602596357
"279",0.543984187912959,0.622317265792884
"280",0.543851108000778,0.622318145926736
"281",0.543830591154546,0.622317238316596
"282",0.543697480000277,0.622318786647255
"283",0.543676941744142,0.622316920149637
"284",0.543546675884057,0.622319161797776
"285",0.54354032427934,0.622315998239395
"286",0.543422188953662,0.622318626095759
"287",0.543415309295271,0.622315379681998
"288",0.543301875011548,0.62231721071509
"289",0.543295100577706,0.622314669402717
"290",0.543186559909496,0.622315434847145
"291",0.543179790550724,0.622314650469006
"292",0.543075663320118,0.622314778117243
"293",0.543073207231772,0.622315253746674
"294",0.542969100728711,0.622315450436035
"295",0.542973803692692,0.622314749987897
"296",0.542869738539303,0.622315700380163
"297",0.542874604939733,0.622313852435476
"298",0.542782019240689,0.622315380513947
"299",0.542786905665169,0.622314397460654
"300",0.542694383684695,0.622316478291749
"301",0.542699329366309,0.622314927469189
"302",0.542601409647397,0.622316765374934
"303",0.542606281545607,0.62231410357217
"304",0.542508282659058,0.622316319961526
"305",0.542513122359768,0.622313118666335
"306",0.542415069253491,0.622315382486181
"307",0.542419867059023,0.622312498236365
"308",0.542321780999385,0.622314483604344
"309",0.542326555618133,0.622312401981548
"310",0.542228461809534,0.622313861106752
"311",0.542237227770122,0.622312632055775
"312",0.542139175243397,0.62231332368004
"313",0.542147944997152,0.622312633536709
"314",0.542049954512772,0.622313116210957
"315",0.542058769764897,0.622312183882128
"316",0.541968298125661,0.622313485281783
"317",0.541980433495292,0.622313072738518
"318",0.541890166391112,0.622314215993401
"319",0.541902461594975,0.622313472906582
"320",0.54181813780808,0.622315313142175
"321",0.541830551236581,0.622313193081491
"322",0.541751461780675,0.622316391126953
"323",0.541770528580476,0.622312770982787
"324",0.541690611454336,0.622316860593133
"325",0.541709900508402,0.622313225503481
